column,value,count,ratio
aii_dqf1,0.0,57221853,0.5222720838090857
aii_dqf1,1.0,10302385,0.09403134991370285
aii_dqf1,2.0,14621462,0.1334521870005741
aii_dqf1,NaN,27417600,0.25024437927663734
aii_dqf2,0.0,921879,0.008414122247139324
aii_dqf2,1.0,81223821,0.7413414984762233
aii_dqf2,NaN,27417600,0.25024437927663734
apps_aep_dqf,0.0,93325137,0.8517919504067512
apps_aep_dqf,2.0,15381363,0.1403879127408539
apps_aep_dqf,NaN,856800,0.007820136852394917
apps_aod_dqf,0.0,93325137,0.8517919504067512
apps_aod_dqf,2.0,15381363,0.1403879127408539
apps_aod_dqf,NaN,856800,0.007820136852394917
apps_daod011_dqf,0.0,108666837,0.9918178532410031
apps_daod011_dqf,2.0,39663,0.00036200990660193697
apps_daod011_dqf,NaN,856800,0.007820136852394917
apps_daod055_dqf,0.0,108666837,0.9918178532410031
apps_daod055_dqf,2.0,39663,0.00036200990660193697
apps_daod055_dqf,NaN,856800,0.007820136852394917
cla_cloud_fraction_dqf,0.0,20598118,0.1880019860665022
cla_cloud_fraction_dqf,2.0,88215482,0.8051553941876523
cla_cloud_fraction_dqf,NaN,749700,0.006842619745845552
cla_type_dqf,0.0,10202943,0.09312372847477211
cla_type_dqf,2.0,86874492,0.7929159855535567
cla_type_dqf,3.0,11724799,0.10701392710880377
cla_type_dqf,255.0,11366,0.00010373911702184946
cla_type_dqf,NaN,749700,0.006842619745845552
ctps_dqf1,0.0,19996754,0.18251325033108715
ctps_dqf1,2.0,71861663,0.6558917356450563
ctps_dqf1,3.0,17061794,0.1557254482112167
ctps_dqf1,6.0,489,4.463173343628752e-06
ctps_dqf1,NaN,642600,0.005865102639296188
dcoew_dqf1,0.0,5348809,0.04881934917988049
dcoew_dqf1,1.0,3422211,0.03123501208890203
dcoew_dqf1,2.0,3930659,0.03587569012616451
dcoew_dqf1,3.0,547928,0.005001017676539498
dcoew_dqf1,4.0,28689880,0.26185666185666184
dcoew_dqf1,5.0,2774327,0.025321681621491867
dcoew_dqf1,8.0,1513442,0.01381340284566091
dcoew_dqf1,128.0,62693444,0.5722120819654026
dcoew_dqf1,NaN,642600,0.005865102639296188
fog_dqf,0.0,12464884,0.11376878936651233
fog_dqf,13.0,3560,3.2492632113125474e-05
fog_dqf,14.0,417389,0.0038095694452430695
fog_dqf,15.0,7034767,0.0642073303743133
fog_dqf,NaN,89642700,0.8181818181818182
lst_dqf,0.0,69446472,0.6338479399579969
lst_dqf,4.0,48,4.3810290489607376e-07
lst_dqf,255.0,37653480,0.34366872848846286
lst_dqf,NaN,2463300,0.022482893450635387
lwrad_downward_dqf,1.0,20670300,0.18866080156402737
lwrad_downward_dqf,NaN,88893000,0.8113391984359726
lwrad_dqf1,NaN,109563300,1.0
lwrad_upward_dqf,1.0,20670300,0.18866080156402737
lwrad_upward_dqf,NaN,88893000,0.8113391984359726
ncot_dqf,0.0,9819695,0.08962576884778023
ncot_dqf,2.0,88923554,0.8116180691892266
ncot_dqf,3.0,58636,0.0005351792069059621
ncot_dqf,4.0,10118815,0.09235588011679094
ncot_dqf,NaN,642600,0.005865102639296188
qpn_dqf1,-1.0,2293849,0.020936289797769875
qpn_dqf1,0.0,74053961,0.6759011548575116
qpn_dqf1,1.0,2370690,0.021637628658501523
qpn_dqf1,NaN,30844800,0.28152492668621704
sal_dqf1,NaN,109563300,1.0
sal_dqf2,NaN,109563300,1.0
swrad_absorbed_dqf,0.0,2207,2.0143606481367392e-05
swrad_absorbed_dqf,1.0,33668867,0.3073005924429074
swrad_absorbed_dqf,255.0,72893426,0.665308784967229
swrad_absorbed_dqf,NaN,2998800,0.02737047898338221
swrad_downward_dqf,1.0,33671074,0.3073207360493888
swrad_downward_dqf,255.0,72893426,0.665308784967229
swrad_downward_dqf,NaN,2998800,0.02737047898338221
swrad_dqf1,0.0,83105052,0.758511764432068
swrad_dqf1,1.0,23459448,0.21411775658454976
swrad_dqf1,NaN,2998800,0.02737047898338221
tpw_dqf1,0.0,62221156,0.5679014414498286
tpw_dqf1,1.0,11174337,0.1019897812497433
tpw_dqf1,2.0,16140107,0.14731307837569696
tpw_dqf1,NaN,20027700,0.1827956989247312
tpw_dqf2,0.0,1003602,0.009160019824156446
tpw_dqf2,1.0,88531998,0.8080442812511124
tpw_dqf2,NaN,20027700,0.1827956989247312
tqprof_dqf1,0.0,28824232,0.26308291188746596
tqprof_dqf1,1.0,6047032,0.05519213094165656
tqprof_dqf1,2.0,9146836,0.08348448796266633
tqprof_dqf1,NaN,65545200,0.5982404692082112
tqprof_dqf2,0.0,499922,0.004562860008780313
tqprof_dqf2,1.0,43518178,0.3971966707830085
tqprof_dqf2,NaN,65545200,0.5982404692082112
vgt_dqf1,NaN,109563300,1.0
